dataset_id,global_index,dataset_name,dataset_dir,family,subgroup,selection_mode,candidate_advantage_side,method_count,valid_output_methods,valid_output_method_names,status_ok,status_timed_out,status_error
g0080,80,II.37.1_2_0,sim-datasets-data/llm-srbench/lsrtransform/II.37.1_2_0,llm-srbench,llm-srbench/lsrtransform,strict,pysr,7,5,dso;llmsr;pyoperon;pysr;tpsr,2,5,0
g0081,81,II.36.38_4_0,sim-datasets-data/llm-srbench/lsrtransform/II.36.38_4_0,llm-srbench,llm-srbench/lsrtransform,strict,pysr,7,5,dso;llmsr;pyoperon;pysr;tpsr,2,5,0
g0082,82,II.34.2_1_0,sim-datasets-data/llm-srbench/lsrtransform/II.34.2_1_0,llm-srbench,llm-srbench/lsrtransform,strict,pysr,7,5,dso;llmsr;pyoperon;pysr;tpsr,2,5,0
g0083,83,feynman-i.12.11,sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-i.12.11,srsd,srsd/srsd-feynman_medium_dummy,strict,pysr,7,6,drsr;dso;llmsr;pyoperon;pysr;tpsr,2,5,0
g0084,84,feynman-ii.21.32,sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-ii.21.32,srsd,srsd/srsd-feynman_medium_dummy,strict,pysr,7,6,drsr;dso;llmsr;pyoperon;pysr;tpsr,2,5,0
g0085,85,feynman-i.12.1,sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-i.12.1,srsd,srsd/srsd-feynman_easy_dummy,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,4,3,0
g0086,86,feynman-i.10.7,sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-i.10.7,srsd,srsd/srsd-feynman_medium_dummy,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,2,5,0
g0087,87,feynman-bonus.7,sim-datasets-data/srsd/srsd-feynman_hard_dummy/feynman-bonus.7,srsd,srsd/srsd-feynman_hard_dummy,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,2,5,0
g0088,88,strogatz_lv1,sim-datasets-data/srbench1.0/strogatz/strogatz_lv1,srbench1.0,srbench1.0/strogatz,strict,pysr,7,6,dso;gplearn;llmsr;pyoperon;pysr;tpsr,3,4,0
g0089,89,strogatz_lv2,sim-datasets-data/srbench1.0/strogatz/strogatz_lv2,srbench1.0,srbench1.0/strogatz,strict,pysr,7,5,dso;llmsr;pyoperon;pysr;tpsr,3,4,0
g0090,90,Korns-1,sim-datasets-data/korns/Korns-1,korns,korns,strict,llmsr,7,6,drsr;dso;llmsr;pyoperon;pysr;tpsr,2,5,0
